Date,Open,High,Low,Close,Volume
2017-08-21,662.5,690.0,662.5,682.5,18927000
2017-08-22,682.5,690.0,670.0,690.0,9474000
2017-08-23,690.0,700.0,687.5,687.5,10630000
2017-08-24,685.0,687.5,665.0,670.0,4842000
2017-08-25,660.0,685.0,655.0,685.0,11366000
2017-08-28,685.0,695.0,682.5,695.0,3181000
2017-08-29,690.0,700.0,687.5,687.5,19354000
2017-08-30,690.0,722.5,685.0,720.0,39495000
2017-08-31,720.0,735.0,680.0,700.0,31062000
2017-09-01,700.0,700.0,700.0,700.0,0
2017-09-04,690.0,690.0,670.0,677.5,15496000
2017-09-05,680.0,680.0,655.0,657.5,11234000
2017-09-06,650.0,697.5,650.0,697.5,6092000
2017-09-07,697.5,702.5,685.0,697.5,9533000
2017-09-08,690.0,720.0,680.0,702.5,7275000
2017-09-11,690.0,702.5,690.0,700.0,5247000
2017-09-12,690.0,700.0,685.0,685.0,5781000
2017-09-13,680.0,715.0,670.0,715.0,3435000
2017-09-14,712.5,712.5,680.0,695.0,3303000
2017-09-15,695.0,702.5,675.0,702.5,8446000
2017-09-18,700.0,700.0,685.0,690.0,4530000
2017-09-19,690.0,695.0,677.5,682.5,7676000
2017-09-20,685.0,690.0,680.0,687.5,17124000
2017-09-21,687.5,687.5,687.5,687.5,0
2017-09-22,687.5,690.0,665.0,690.0,11012000
2017-09-25,682.5,700.0,675.0,700.0,8448000
2017-09-26,700.0,707.5,682.5,707.5,10637000
2017-09-27,707.5,710.0,685.0,690.0,4571000
2017-09-28,690.0,692.5,662.5,680.0,13158000
2017-09-29,677.5,700.0,667.5,700.0,16195000
2017-10-02,700.0,700.0,677.5,682.5,3725000
2017-10-03,682.5,682.5,652.5,660.0,22034000
2017-10-04,665.0,670.0,650.0,667.5,9429000
2017-10-05,667.5,670.0,652.5,667.5,9931000
2017-10-06,665.0,677.5,660.0,675.0,33654000
2017-10-09,700.0,700.0,667.5,670.0,10266000
2017-10-10,672.5,685.0,672.5,680.0,16014000
2017-10-11,680.0,687.5,677.5,687.5,11492000
2017-10-12,687.5,690.0,682.5,690.0,1338000
2017-10-13,690.0,690.0,680.0,685.0,10058000
2017-10-16,700.0,700.0,682.5,685.0,16096000
2017-10-17,685.0,685.0,665.0,677.5,3729000
2017-10-18,677.5,677.5,655.0,655.0,15185000
2017-10-19,660.0,662.5,615.0,622.5,37437000
2017-10-20,622.5,630.0,620.0,625.0,17042000
2017-10-23,630.0,650.0,627.5,645.0,22792000
2017-10-24,650.0,662.5,627.5,635.0,13947000
2017-10-25,640.0,660.0,627.5,655.0,31554000
2017-10-26,655.0,655.0,627.5,642.5,75751000
2017-10-27,642.5,657.5,640.0,647.5,31624000
2017-10-30,647.5,655.0,645.0,647.5,17681000
2017-10-31,642.5,655.0,630.0,655.0,27414000
2017-11-01,655.0,665.0,650.0,665.0,24646000
2017-11-02,670.0,697.5,665.0,665.0,31470000
2017-11-03,665.0,677.5,650.0,665.0,19850000
2017-11-06,667.5,682.5,662.5,670.0,19401000
2017-11-07,670.0,682.5,660.0,665.0,12721000
2017-11-08,665.0,665.0,635.0,640.0,16965000
2017-11-09,640.0,650.0,635.0,650.0,29538000
2017-11-10,647.5,660.0,642.5,655.0,15176000
2017-11-13,652.5,660.0,650.0,655.0,23372000
2017-11-14,655.0,657.5,647.5,652.5,6444000
2017-11-15,652.5,655.0,650.0,652.5,83133000
2017-11-16,650.0,665.0,650.0,652.5,22411000
2017-11-17,652.5,652.5,635.0,645.0,24712000
2017-11-20,645.0,645.0,627.5,632.5,32524000
2017-11-21,632.5,635.0,605.0,615.0,50783000
2017-11-22,615.0,617.5,595.0,612.5,38111000
2017-11-23,615.0,630.0,612.5,622.5,24602000
2017-11-24,632.5,632.5,620.0,627.5,17532000
2017-11-27,632.5,650.0,627.5,650.0,13128000
2017-11-28,650.0,680.0,647.5,677.5,37988000
2017-11-29,670.0,685.0,652.5,665.0,20132000
